,city,company,location,salary,title
60030,San+Francisco,Thermo Fisher Scientific,"South San Francisco, CA 94083",No Salary,"Sr. Director, R&D Software - Life Sciences"
60032,San+Francisco,BioMarin Pharmaceutical Inc.,"Novato, CA",No Salary,"Sr. Analyst, Quality Control"
60037,San+Francisco,BioMarin Pharmaceutical Inc.,"San Rafael, CA",No Salary,Sr. Occupancy Planner
60038,San+Francisco,Domino Data Lab,"San Francisco, CA",No Salary,Senior Front-End Engineer
60039,San+Francisco,GuruLink,"San Francisco, CA",No Salary,Senior Machine Learning Engineer
60065,San+Francisco,Square,"San Francisco, CA 94103 (South Of Market area)",No Salary,"Product Designer - Senior Level, Square Capital"
60066,San+Francisco,Color Genomics,"Burlingame, CA",No Salary,"Software Engineer, Bioinformatics"
60069,San+Francisco,Walmart eCommerce,"San Bruno, CA 94066",No Salary,"Senior Director, Operations"
60109,San+Francisco,JUUL Labs,"San Francisco, CA",No Salary,Senior Frontend Software Engineer
60189,San+Francisco,Carbon3D,"Redwood City, CA 94063","$36,000 - $46,000 a year (Indeed est.)",Manufacturing Technician - Window
60278,San+Francisco,Domino Data Lab,"San Francisco, CA","$109,000 - $139,000 a year (Indeed est.)",Senior Front-End Engineer
60408,San+Francisco,Autodesk,"San Francisco, CA","$121,000 - $154,000 a year (Indeed est.)",Information Security Engineer -Security Engineering
60409,San+Francisco,JUUL Labs,"San Francisco, CA","$120,000 - $153,000 a year (Indeed est.)",Senior Frontend Software Engineer
61304,San+Francisco,Stride Search,"San Mateo, CA","$122,000 - $155,000 a year (Indeed est.)",Architect
61494,San+Francisco,drawbridge,"San Mateo, CA 94403 (Sugerloaf area)","$124,000 - $157,000 a year (Indeed est.)",Sr. Data Scientist
62556,San+Francisco,Color Genomics,"Burlingame, CA","$114,000 - $145,000 a year (Indeed est.)","Software Engineer, Bioinformatics"
70000,Boston,Leica Biosystems,"Danvers, MA",No Salary,Staff Clinical Programs Manager
70001,Boston,Triple Ring Technologies,"Boston, MA",No Salary,Optical Scientist
70003,Boston,Sanofi US,"Framingham, MA",No Salary,Bioanalytical Scientist (Mass Spectrometry) - VIE Contract (...
70004,Boston,Boston University,"Boston, MA",No Salary,"POSTDOCTORAL ASSOCIATE, Boston University School of Medicine..."
70005,Boston,"Ironwood Pharmaceuticals, Inc.","Cambridge, MA 02142 (East Cambridge area)",No Salary,"Sr. Medical Director, Surveillance and Risk Management"
70020,Boston,Xactware,"Lexington, MA",No Salary,Senior AWS Developer
70021,Boston,Akriveia Therapeutics,"Cambridge, MA",No Salary,"Senior Scientist, In-Vivo Biology"
70022,Boston,Alnylam,"Cambridge, MA",No Salary,Contract Sr. Associate Scientist - In Vivo Pharmacology
70024,Boston,Vertex Pharmaceuticals,"Boston, MA 02110 (Central area)",No Salary,Research Scientist Computational Genomics
70025,Boston,Huawei,"Framingham, MA",No Salary,Principal Statistical Data Scientist
70027,Boston,Charles River Laboratories,"Wilmington, MA 01887",No Salary,"Principal Research Scientist, Embryology"
70029,Boston,Nuance,"Burlington, MA",No Salary,Director Corporate Resiliency
70031,Boston,Charles River Analytics Inc.,"Cambridge, MA",No Salary,"Full Stack Web Application Developer, Senior Level"
70032,Boston,"New England Biolabs, Inc.","Ipswich, MA",No Salary,Research Scientist I – RNA Biology Division
70033,Boston,Autodesk,"Boston, MA 02111 (Central area)",No Salary,Senior DevOps Engineer
70034,Boston,EMD,"Bedford, MA",No Salary,"Scientist III, Virology"
70035,Boston,ClientSolv Technologies,"Framingham, MA 01701",No Salary,Software Engineer/ DevOps
70036,Boston,Sanofi US,"Cambridge, MA",No Salary,"Associate Director, Statistical Programming"
70038,Boston,Manulife Financial,"Boston, MA",No Salary,Data Scientist
70039,Boston,Vertex Pharmaceuticals,"Boston, MA 02110 (Central area)",No Salary,Data Scientist
70040,Boston,Wayfair,"Boston, MA 02116 (South End area)",No Salary,Senior Recruiter - Machine Learning & Artificial Intelligenc...
70041,Boston,Glocomms,"Boston, MA","$120,000 - $140,000 a year",Infrastructure Devops Engineer
70042,Boston,EMD,"Billerica, MA",No Salary,Scientist - In-Vivo Immunopharmacology
70043,Boston,TripAdvisor,"Needham, MA",No Salary,"Director of Product, Revenue Optimization"
70044,Boston,Alnylam,"Cambridge, MA",No Salary,"Manager, Global Patient Safety & Risk Mgmnt"
70046,Boston,Biogen,"Cambridge, MA",No Salary,"Sr Scientist, Computational Biology"
70047,Boston,Broad Institute,"Cambridge, MA",No Salary,Project Coordinator - Cancer
70048,Boston,Broad Institute,"Cambridge, MA",No Salary,Project Coordinator - Achilles
70049,Boston,Sanofi US,"Framingham, MA",No Salary,Scientist - Protein Biochemist
70244,Boston,Boston University,"Boston, MA","$59,000 - $75,000 a year (Indeed est.)","POSTDOCTORAL ASSOCIATE, Boston University School of Medicine..."
70451,Boston,Charles River Analytics Inc.,"Cambridge, MA","$97,000 - $123,000 a year (Indeed est.)","Full Stack Web Application Developer, Senior Level"
70453,Boston,Autodesk,"Boston, MA 02111 (Central area)","$116,000 - $148,000 a year (Indeed est.)",Senior DevOps Engineer
70455,Boston,ClientSolv Technologies,"Framingham, MA 01701","$105,000 - $134,000 a year (Indeed est.)",Software Engineer/ DevOps
70510,Boston,Xactware,"Lexington, MA","$100,000 - $127,000 a year (Indeed est.)",Senior AWS Developer
70899,Boston,Vertex,"Boston, MA 02114 (Back Bay-Beacon Hill area)",No Salary,Data Scientist
70939,Boston,Sanofi US,"Framingham, MA",No Salary,Scientist-Recombinant Protein Production
70999,Boston,"New England Biolabs, Inc.","Ipswich, MA",No Salary,Purification Process Scientist
71777,Boston,Manulife Financial,"Boston, MA","$101,000 - $128,000 a year (Indeed est.)",Data Scientist
71778,Boston,Vertex Pharmaceuticals,"Boston, MA 02110 (Central area)","$119,000 - $151,000 a year (Indeed est.)",Data Scientist
71779,Boston,Vertex,"Boston, MA 02114 (Back Bay-Beacon Hill area)","$119,000 - $151,000 a year (Indeed est.)",Data Scientist
100000,Philadelphia,First Professional IT,"Cherry Hill, NJ",$60 - $75 an hour,Data Scientist
130002,New+York,Elenion Technologies,"New York, NY",No Salary,Senior Field Application Engineer
130004,New+York,Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,"Brooklyn, NY",No Salary,PRODUCT DESIGN LEAD
130007,New+York,The Execu|Search Group,"New York, NY",No Salary,Quantitative Analyst
130008,New+York,The Execu|Search Group,"New York, NY",No Salary,Quantitative Trading Analyst
130009,New+York,General Motors,"New York, NY 10105 (Midtown area)",No Salary,Cadillac Global Lead Data Scientist
130010,New+York,University of Rochester,"Rochester, NY",No Salary,Laboratory Technician III (S)
130011,New+York,Gigster,"New York, NY",No Salary,Commercial Sales Representative
