position,company,location,salary,summary
"Data Analyst (Fixed Term, 18 months)",Stanford University,"Stanford, CA 94305",,"Clean large datasets of collected data, or publically available data in preparation for data analysis. The incumbent will work closely with senior statisticians..."
Data Analyst,Walmart eCommerce,"Sunnyvale, CA",,"Organized when analyzing data and conducting research. O Experienced working with massive, messy data sets. We are hiring a partner to both Digital Marketing..."
Machine Learning Scientist (University Grad),Electronic Arts,"Redwood City, CA 94065",,What does a ML Scientist at EA do? Our group develops AI and data driven solutions to game team. Hands-on experience in predictive modeling and analysis over...
"Sr. Data Scientist, Service Operations",Tesla Motors,"Fremont, CA",,"We are looking for a Data Scientist for the most progressive vehicle brand in the world. As a Data Scientist in Service, you will have the opportunity to apply..."
MACHINE LEARNING (and in particular DEEP LEARNING) ENGINEER,"GRAIL, Inc.","Menlo Park, CA",,"Experience with next generation sequencing data analysis (DNA, RNA, or epigenetic analysis.). Largely without exception these breakthroughs have been enabled by..."
Data Scientist/Software Engineer Intern 2018,IBM,"San Jose, CA",,The Data Scientist / Software Engineer Intern will design and implement Machine Learning systems and capabilities for IBM’s Unified Governance products under...
Machine Learning Data Visualization,KLA-Tencor,"Milpitas, CA 95035",,"Responsibility will include the development of the front end of our web based, service oriented application that requires persistence, processing and..."
Data Analyst,McAfee,"Santa Clara, CA 95052",,"Comfortable manipulating and analyzing complex, high-volume, high-dimensional data from varying data sources...."
Machine Learning Research Position,KLA-Tencor,"Milpitas, CA 95035",,Write production modeling code at scale for high data rate systems. Design and perform experimental data analysis to gain deep understanding of the problem....
Research Scientist,KLA-Tencor,"Milpitas, CA 95035",,"Analyzing experimental data and comparing with model. As a research scientist within KLA-Tencor, your responsibilities will include:...."
Machine learning and Data Analytics Research Engineers,ABB,"San Jose, CA 95134 (North San Jose area)",,"Join us, a better world begins with you!Our R&D center in San Jose, CA, with focus on technology and product development for business unit Robotics and welcomes..."
Data Analytics Program Manager,Cisco,"Milpitas, CA",,"People, processes, data, and things. You're a Data Analytics Program Management experience, with strong and practical knowledge on data- mining and statistics..."
R&D Scientist – New Inorganic Semiconductor Materials,"Nanosys, Inc.","Milpitas, CA",,"We are seeking a highly creative material scientist to develop next-generation printable, electronic materials for our QD-LED devices...."
Data Science Engineer,Salesforce,"Palo Alto, CA",,Salesforce is looking for data scientists with hands on experience transforming unique data into amazing products....
"2018 Summer Data Science Intern - Mountain View, CA",Atlassian bright blue button,"Mountain View, CA",,You will work closely with our Data Scientists to extract insights from our massive datasets to identify opportunities to develop new features to power the...
Product Scientist - R&D and Machine Learning,"23andMe, Inc.","Mountain View, CA 94041",,"Be a significant contributor on longer term R&D projects to develop, validate, and translate research data into novel consumer products...."
Machine Learning Intern,Xilinx,"San Jose, CA 95124 (Cambrian Park area)",,Xilinx is looking for a talented individual to intern in the Signal Processing team for a position in the area of Machine Learning. The ideal candidate would...
Network Quantitative Analyst,Facebook,"Menlo Park, CA",,"Build cross functional relationships with Data Scientists, Network Planners, Software Engineers and Network Engineers to understand their data needs...."
Staff Machine Learning Scientist / Engineer / JDY Team,Intellipro Group Inc.,"Santa Clara, CA",,Experience with big data platform such as Hadoop and Spark. We are looking for scientists and engineers with successful hands-on experience of applying advanced...
Data Analytics Program Manager,Cisco,"Milpitas, CA",,"People, processes, data, and things. You're a Data Analytics Program Management experience, with strong and practical knowledge on data- mining and statistics..."
Staff Machine Learning Scientist / Engineer / JDY Team,Intellipro Group Inc.,"Santa Clara, CA",,Experience with big data platform such as Hadoop and Spark. We are looking for scientists and engineers with successful hands-on experience of applying advanced...
Machine Learning Scientist,Huawei,"Santa Clara, CA",,"The Big Data Intelligence Group is looking for a Machine Learning Scientist, to develop and apply algorithms and models in areas like nature language processing..."
Summer Intern - Data Science,Roche,"Mountain View, CA",,"And will collaborate with imaging and data scientists to explore new applications of computer vision, data analysis and classification methods for advanced..."
Data Scientist/Analytics Engineer (Machine Learning and Big Data),FICO,"San Jose, CA 95110 (Downtown area)",,"This includes the analysis of large amounts of historical data, determining suitability for modeling, data clean-up and filtering, pattern identification and..."
Machine Learning Engineer,Toyota Research Institute,"Los Altos, CA",,You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast...
R&D Scientist – New Inorganic Semiconductor Materials,"Nanosys, Inc.","Milpitas, CA",,"We are seeking a highly creative material scientist to develop next-generation printable, electronic materials for our QD-LED devices...."
"Intern, Machine Learning",Daimler,"Sunnyvale, CA",,"Your internship project can be in the areas of sensor data classification, traffic prediction, behavior planning or a similar topic that matches with our..."
Machine Learning Engineer,Automation Anywhere,"San Jose, CA 95131 (North Valley area)",,The Cognitive Engineering team is made up of engineers and data scientists intensely focused on the problem of analyzing image documents....
"Software Engineer, Algorithms and Machine Learning (New College Grad)",NVIDIA,"Santa Clara, CA",,"We are now looking for a Software Engineer, Algorithms and Machine Learning – New College Grad Nvidia’s invention of the GPU 1999 sparked the growth of the..."
Machine Learning Engineer,Toyota Research Institute,"Los Altos, CA",,You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast...
Research Scientist (Machine Learning),NVIDIA,"Santa Clara, CA",,We are now looking for a Research Scientist (Machine Learning):. Are you a creative and autonomous computer scientist with a genuine passion for advancing the...
Data Scientist - Engineer II,Seagate,"Fremont, CA",,Perform hands-on data analysis and modeling with huge data sets. Process manufacturing data to establish correlation between tool data and metrology....
"Research Scientist, Advanced Analytics","Hitachi America, Ltd.","Santa Clara, CA 95054",,"R&D/Big Data Lab. ) has an opening for a Research Scientist, Advanced Analytics in the Big Data Laboratory located in Silicon Valley...."
Junior Research Analyst - Americas Consumer,McKinsey & Company,"San Jose, CA",,You will manage internal data and support in the codification of knowledge. Bachelor Degree completed from a respected institution with strong records of...
Data Analyst - Wave,McKinsey & Company,"San Jose, CA",,"Additionally, you'll validate raw data quality and transform the data using MS Excel, perform quality checks on the data, and suggest improvements for data..."
"People Research Scientist, Diversity Analytics",Facebook,"Menlo Park, CA",,"Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results...."
Senior Managing Data Scientist,Maxim Integrated,"San Jose, CA 95131 (North Valley area)",,The Senior Managing Data Scientist is a senior technical and leadership position within the corporate Advanced Analytics team....
Machine Learning Engineer,Adobe,"San Jose, CA",,"Experience with Spark, big data processing, Hadoop. Work on machine learning algorithms, web services, distributed systems, data mining, big data, Hadoop, deep..."
Machine Learning Engineer,Cisco,"San Jose, CA",,"As a member of this data science team, you will work with data engineers, data analysts and business stakeholders in sales, marketing, IT and operations to..."
Machine Learning Engineer,"Faraday Future, Inc.","San Jose, CA",,"Build core data capabilities and services for cloud platform · Design, develop, and implement data solutions · Designing a flexible recommender system · Be an..."
Machine Learning Engineer,"Linc Global, Inc.","Sunnyvale, CA",,"Strong analytical skills, data driven mindset. Strong knowledge in general software design, data structures, and relational database...."
"Curriculum Developer, Deep Learning Institute",NVIDIA,"Santa Clara, CA",,"Developing effective curriculum and training content for data scientists, researchers, and engineers. The work involves collaborating with internal and external..."
Machine Learning/Deep Learning Engineer (Intern),"Samsung Semiconductor, Inc.","San Jose, CA",,"DSA31390 Samsung SoC R&D; Lab in San Diego is seeking a talented, highly motivated individual to join our team as an intern for the summer of 2018. In this..."
Data Scientist,the Neura,"Sunnyvale, CA 94089",,"Bring a creative flair to complex problems (we have a lot of those), feel at home playing with rich large-scale data (Location:...."
Data Scientist,LumenData,"Santa Clara, CA 95054",,LumenData is looking for a Data Scientist to lead client engagements. That’s what makes the Data Scientist role at LumenData so fun and exciting!...
Data Scientist,Proofpoint,"Sunnyvale, CA 94089",,"Must have been in the role of data scientist for at least 3 years. Mine data using state-of-the-art methods. Collect data, clean, visualize, build model, train,..."
"Big Data Developer (Spark,Kafka, Machine Learning) - WebEx Data Platform",Cisco,"San Jose, CA",,Data governance - experienced in developing and integrating software allowing for flexible and scalable data transformation with data quality controls....
"BU Data Scientist, Pricing",Micron,"Milpitas, CA",,"Acquire and structure data from multiple sources to build machine learning models. As a BU Data Scientist Pricing at Micron Technology, Inc., you will be key..."
Data Scientist,"23andMe, Inc.","Mountain View, CA 94041",,23andMe is seeking an experienced data scientist to join our Analytics team. Strong applied statistics and data visualization skills....
Data Scientist,LumenData,"Santa Clara, CA 95054",,LumenData is looking for a Data Scientist to lead client engagements. That’s what makes the Data Scientist role at LumenData so fun and exciting!...
Data Scientist,Proofpoint,"Sunnyvale, CA 94089",,"Must have been in the role of data scientist for at least 3 years. Mine data using state-of-the-art methods. Collect data, clean, visualize, build model, train,..."
Systems Engineer - Sensors Machine Learning,Qualcomm,"Santa Clara, CA",,"Collecting field test data, as needed for these activities. Performing algorithm development, debugging, verification, and parameter tuning with simulated and..."
"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"Silicon Valley, CA",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
Senior Data Scientist - Traffic Scenarios and Simulation,"Faraday Future, Inc.","San Jose, CA",,Familiarity with OpenDrive data format and and with HD maps - High-performance GPU programming - Programming experience with OpenGL - Prior work on high...
"Quantitative Scientist, People Analytics",Facebook,"Menlo Park, CA",,Facebook is seeking a Data Scientist to join our people analytics team. Collaborate with data engineering and visualization engineers to access and manipulate...
Machine Learning Research Scientist,Paypal,"San Jose, CA",,Prior work experience with big data preferred. The AI & Machine Learning R&D Team in PayPal is looking for talented applied research scientist to work on deep...
Senior Data Scientist,Maxim Integrated,"San Jose, CA 95131 (North Valley area)",,"Help develop a team comprised of data scientists, statisticians, and computational scientists. Developing prediction methods, machine learning algorithms, data..."
Data Engineer,ViaSat,"San Jose, CA",,"As a software engineer, you'll build the systems and tools that the data scientists use to perform their analysis...."
Data Engineer,Walmart eCommerce,"Sunnyvale, CA",,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
"Quantitative Scientist, People Analytics",Facebook,"Menlo Park, CA",,Facebook is seeking a Data Scientist to join our people analytics team. Collaborate with data engineering and visualization engineers to access and manipulate...
"Sr. Data Scientist, Machine Learning Applications",Adobe,"San Jose, CA",,Familiarity working with large-scale data sets and big data techniques would be a plus. Adobe is looking for a Senior Data Science Engineer who will be building...
2018 Applied Scientist (Machine Learning),"A2Z Development Center, Inc.","Sunnyvale, CA",,"Experience with large data sets. PhD in Machine Learning, Data Mining, Statistics, Applied Mathematics, or a related field...."
SEDA Research Data Analyst,Stanford University,"Stanford, CA 94305",,"Documenting data generating processes of SEDA data set for technical and non-technical audiences. Identifying potentially problematic data, make corrections,..."
Software Developer I-III (Machine Learning),Universities Space Research Association,"Mountain View, CA",,"Develop data pipeline and analytics using Autonomous Vehicle Sensors data (Images, LIDAR, etc.). The Software Development Engineer will develop data pipeline..."
Sr. Staff Data Scientist,Intellipro Group Inc.,"Santa Clara, CA 95050",,"We are seeking a highly motivated data scientist to work on log analytics, anomaly detection, and causal analysis...."
Senior Data Scientist - SDAS01,"Cavium, Inc.","San Jose, CA",,"The Senior Data Scientist, will be working as part of a dynamic team to analyze machine learning frameworks, and applications...."
applied machine learning intern,light.io,"Palo Alto, CA",,Light is a team of creative technologists on a mission to reimagine the art and science of photography. We are a venture-backed startup creating a radically...
Data Scientist,Teradata,"Santa Clara, CA",,Collaborate with data science team to evaluate model and data. Teradata is seeking an experienced data scientist to join the Technology & Innovation Office....
Data Scientist,Walmart eCommerce,"Sunnyvale, CA",,Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics....
Data Scientist,Teradata,"Santa Clara, CA",,Collaborate with data science team to evaluate model and data. Teradata is seeking an experienced data scientist to join the Technology & Innovation Office....
Data Scientist,Walmart eCommerce,"Sunnyvale, CA",,Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics....
Data Scientist,Burgeon IT Services,"Sunnyvale, CA",,"Experience with data visualisation tools, such as D3.js, GGplot, etc. Experience with common data science toolkits, such as R, Weka, NumPy, MatLab,..."
Data Scientist,Hewlett Packard Enterprise,"Santa Clara, CA",,Looking for a Data Scientist who can provide insights into data and help us build a better product! 6+ years Python or R development experience Excellent...
Data Scientist,NVIDIA,"Santa Clara, CA",,"Mine massive amounts of data and perform large-scale data analysis to derive useful business insights into product, customer, and market behavior...."
Data Scientist,"Faraday Future, Inc.","San Jose, CA",,"Experience with Spark, Hadoop & Other big data tools. Use Stats, Machine Learning, Math and CS to help design the car and its sensors, gain insight into..."
Data Scientist,"Viewics, Inc","San Jose, CA",,Skills in data visualization. Experience working with messy real-world data. Experience with data modeling principles and techniques....
Data Scientist,"Linc Global, Inc.","Sunnyvale, CA",,"Strong analytical skills, data driven mindset. Strong knowledge in general software design, data structures, and relational database...."
Data Scientist,Huawei,"Santa Clara, CA",,"Help to evolve large scale Big Data platform and tools in all aspects, from data collection to data processing, exploration, visualization and modeling...."
Data Engineer,Khan Academy,"Mountain View, CA",,Data Science team blog. You’ll need to understand the product implications of data transformations or A/B test conversions and be able to convey uncertainties...
"Applied Research Scientist, Natural Language Processing",Facebook,"Menlo Park, CA",,Facebook is seeking an Applied Research Scientist to join our Language and Translation Technologies Team in Menlo Park....
Research Scientist,Intel,"Santa Clara, CA 95052",,Visual data processing. This is an Intel contract employee (ICE) position....
"Data Analyst, Research Operations ��� Business Integrity",Facebook,"Menlo Park, CA",,"Data analysis skills. Data Analysts leverage Integrity data and tools to identify and communicate key metrics, insights, and information...."
"Software Engineer, Machine Learning",Comcast,"Sunnyvale, CA 94089",,"The ideal candidate will have experience working as a technical lead or junior team members in a start-up, industrial, government, or academic lab setting on..."
Senior Data Scientist,Cisco,"San Jose, CA",,"We are looking for a highly technical Senior Data Scientist, with strong and practical knowledge on data mining and statistics who will ideally have experience..."
Data Engineer,Khan Academy,"Mountain View, CA",,Data Science team blog. You’ll need to understand the product implications of data transformations or A/B test conversions and be able to convey uncertainties...
Advanced Metrology Algorithms (Machine Learning) Developers - (E5),Applied Materials Inc.,"Santa Clara, CA",,Proven analytical abilities to derive verifiable conclusions (simulate models) from large amounts of real-world data....
