position,company,location,salary,summary
Data Analyst - Wave,McKinsey & Company,"San Jose, CA",,"Additionally, you'll validate raw data quality and transform the data using MS Excel, perform quality checks on the data, and suggest improvements for data..."
Product Scientist - R&D and Machine Learning,"23andMe, Inc.","Mountain View, CA 94041",,"Be a significant contributor on longer term R&D projects to develop, validate, and translate research data into novel consumer products...."
18' Spring Data Science PhD Intern-SAMSUNG Pay,Samsung Research America,"Mountain View, CA 94043",,Working knowledge of big data tools and data pipelines. Come join the Samsung Pay Data Science team and enjoy building state-of-the-art data solutions!...
"Senior Manager / Principal Data Scientist, Enterprise Data Science Office",Cisco,"San Jose, CA",,At least 6 years of Experience as a Data Scientist and Associate Data Scientist. Experience working with structured data and unstructured data....
"Senior Data Scientist, Machine Learning",MachineZone,"Palo Alto, CA",,"As a Data scientist on our Marketing Engineering team, you will design predictive Machine Learning Algorithms on very large data sets, involving billions of..."
Senior Data Scientist,Intuit,"Mountain View, CA 94039",,"Develop solutions to improve data quality and usability, provide analysis on different level of data aggregations, and make judgmental decision on data..."
Staff Machine Learning Scientist / Engineer / JDY Team,Intellipro Group Inc.,"Santa Clara, CA",,Experience with big data platform such as Hadoop and Spark. We are looking for scientists and engineers with successful hands-on experience of applying advanced...
"Senior Manager / Principal Data Scientist, Enterprise Data Science Office",Cisco,"San Jose, CA",,At least 6 years of Experience as a Data Scientist and Associate Data Scientist. Experience working with structured data and unstructured data....
Systems Engineer - Sensors Machine Learning,Qualcomm,"Santa Clara, CA",,"Collecting field test data, as needed for these activities. Performing algorithm development, debugging, verification, and parameter tuning with simulated and..."
applied machine learning intern,light.io,"Palo Alto, CA",,Light is a team of creative technologists on a mission to reimagine the art and science of photography. We are a venture-backed startup creating a radically...
Machine Learning Applied Research Scientist,Adobe,"San Jose, CA",,"Experience with Spark, big data processing, Hadoop. Work on building state of the art machine learning models leveraging data mining, big data, deep learning,..."
Physics Based Machine Learning Research Scientist,KLA-Tencor,"Milpitas, CA 95035",,Write production modeling code at scale for high data rate systems. Design and perform experimental data analysis to gain deep understanding of the problem....
"AI Research/Software Development Engineer, Alexa Artificial Intelligence",Amazon Corporate LLC,"Sunnyvale, CA",,"Experience with data structures, algorithm design, problem solving, and complexity analysis. Working with scientists and other engineers to investigate design..."
Machine Learning Scientist,Adobe,"San Jose, CA",,We are seeking for a machine learning/ data scientist expert to help us develop analytical model to analyze the large quantities of live and historic data we...
Data Science and Machine Learning Software Engineer,NetApp,"Sunnyvale, CA",,"Strong aptitude for learning new technologies related to Data Management and Data Science. As the leading data management company, NetApp collects petabytes of..."
Machine learning and Data Analytics Research Engineers,ABB,"San Jose, CA 95134 (North San Jose area)",,"Join us, a better world begins with you!Our R&D center in San Jose, CA, with focus on technology and product development for business unit Robotics and welcomes..."
"Applied Research Scientist, Natural Language Processing",Facebook,"Menlo Park, CA",,Facebook is seeking an Applied Research Scientist to join our Language and Translation Technologies Team in Menlo Park....
"People Research Scientist, Diversity Analytics",Facebook,"Menlo Park, CA",,"Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results...."
Staff Business Data Analysis,Intuit,"Mountain View, CA 94039",,"We are seeking a Staff Analyst who will partner closely with Customer Success/Care leaders, product management, data engineering, data scientists and analysts..."
Senior Data Scientist,Mozilla,"Mountain View, CA 94041",,"As a Senior Data Scientist at Mozilla. As a Senior Data Scientist, you will be a member of the product development organization...."
Data Scientist/Machine Learning Research Engineer,Samsung SDS America,"San Jose, CA",,"Research and develop AI algorithms to process and interpret data, including visual, audio, text, and other structured and non-structured data, leading to..."
Advanced Metrology Algorithms (Machine Learning) Developers - (E5),Applied Materials Inc.,"Santa Clara, CA",,Proven analytical abilities to derive verifiable conclusions (simulate models) from large amounts of real-world data....
