position,company,location,salary,summary
Research Analyst,Mount St. Mary's College,"Los Angeles, CA 90007",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
Data Scientist III,"MINDBODY, Inc","Irvine, CA",,"Data Scientist III – Customer Intelligence focuses on extracting, understanding, manipulating and conveying complex data from MINDBODY’s production environment...."
Sr Data Scientist,tronc,"Los Angeles, CA",,"We are looking for a data scientist to join the data science and engineering team at tronc, Inc. As a senior data scientist at tronc you will have the chance to..."
Senior NLP Data Scientist,Capital Group,"Los Angeles, CA 90071",,"Based in Irvine or Los Angeles, as a Senior Data Scientist, you will be experienced with and passionate about using data to drive business strategy, tactical..."
Model Risk Quantitative Analyst,MUFG,"Los Angeles, CA",,"And data analytics using Excel, VBA, SQL, and Bloomberg Excel API. And programming with statistical programming language “R” and performing data analytics using..."
Clinical Lab Scientist (LIS),AHMC Anaheim Regional Medical Center,"Anaheim, CA",,Current State of California Clinical Laboratory Scientist License. Participates in data collection and analysis as requested by management....
Clinical Lab Scientist,AHMC Anaheim Regional Medical Center,"Anaheim, CA",,Current State of California Clinical Laboratory Scientist License. Two years experience as a Clinical Laboratory Scientist in an acute care laboratory preferred...
Data Scientist,Pray,"Los Angeles, CA",,We’re looking for a Data Scientist to join the Pray app. Fluency in SQL or other big data querying languages....
Data Scientist,EcoSense Lighting,"Los Angeles, CA 90017",,We are looking for a Data Scientist. Proficient in data mining processes and optimization. Analyze data from a wide range of sources to discover insights and...
Data Scientist,KORNFERRY,"Los Angeles, CA",,Develop interactive data visualizations that allow our clients to explore their own data. Korn Ferry’s expanding team of data scientists plays an important role...
Project Scientist Pool Ad,The Regents of the University of California,"Irvine, CA",,"The Department of Cognitive Sciences at the University of California, Irvine (UCI) is anticipating Project Scientist positions to work in the following areas:...."
Analyst - Marketing Analytics,Joybird,"Commerce, CA",,"2+ years of experience as a Data Analyst, Data Scientist or Management Consultant. Joybird is looking for a Marketing Analytics Analyst who is hungry to be an..."
Clinical Laboratory Scientist,AHMC Anaheim Regional Medical Center,"Anaheim, CA",,Current State of California Clinical Laboratory Scientist License. Two years experience as a Clinical Laboratory Scientist in an acute care laboratory preferred...
Senior Data Scientist,Classy,"Los Angeles, CA",,We’re looking for a data scientist who is a self-starter and has experience driving their own data science project....
Data Leadership,Riot Games,"Los Angeles, CA",,The Data Discipline improves player experience through world class data processing and machine learning....
Sr. Data Scientist,Taboola,"Los Angeles, CA",,"Experience in collecting data from/exposing data to various data sources and services (API, JSON, XML)...."
Quantitative Financial Analyst,Niagara Bottling,"Ontario, CA 91761",,Create and maintain databases and ensure that the data are reliable. Develop financial and data models to aid in better understanding overall financial...
Scientist I,NeoGenomics Laboratories,"Aliso Viejo, CA",,"The Scientist p rovides accurate and pertinent scientific data according to agreed methods, procedures, and techniques within the established project schedules...."
Research Analyst,SEIU United Healthcare Workers - West,"Los Angeles, CA",,"Position: Research Analyst Classification: Full-time, Exempt Position Summary : Our Research Department is responsible for providing strategic support for..."
Specialist Customer Technical Support,Beckman Coulter - Diagnostics,"Brea, CA",,Collects and analyzes data to enhance customer satisfaction. Scientists use our life science research instruments to study complex biological problems including...
"Environmental, Social & Governance (ESG) Research Analyst",Pacific Investment Management Company LLC,"Newport Beach, CA 92660",,"PIMCO is a global investment solutions provider with more than 2,300 dedicated professionals in 12 countries focused on a single mission: to manage risks and..."
Senior Data Scientist,Restoration Media,"Irvine, CA 92614",,The Senior Data Scientist will leverage the business’s data to enhance business stakeholders capabilities for overall goal achievement....
Data Science Developer,KORNFERRY,"Los Angeles, CA",,Develop interactive data visualizations that allow our clients to explore their own data. Korn Ferry’s expanding team of data scientists plays an important role...
Senior Statistician,UCLA HEALTH,"Los Angeles, CA",,"Under the supervision of the Manager of the Data Analysis team, the incumbent will lead statistical analysis and supervise data managers and graduate student..."
