position,company,location,salary,summary
Machine Learning Intern (Summer 2018),Rocket Software,"Austin, TX",,You have experience with R or other such data science tools. You have a strong background in analyzing and discovering patterns in seemingly disparate data....
"Data Scientist - Round Rock, TX",DELL,"Round Rock, TX 78664",,"Data Scientist - Round Rock, TX. Produce actionable and compelling recommendations by interpreting, exploring, identifying and communicating insights discovered..."
"Healthcare - Research Staff Member, Artificial Intelligence",IBM,"Austin, TX 73344",,We love data and scalability:. Our ambitious AI for Healthcare research agenda include deep learning and deep phenotyping integrating multiple aspects of...
Strategic Research Analyst I,Texas Department of Transportation,"Austin, TX","$3,763 - $6,149 a month","Researching inconsistencies of facts or data; Compiles, reviews, analyzes, and evaluates performance data; Work involves compiling, reviewing, analyzing and..."
Data Scientist II: Marketing,HomeAway,"Austin, TX",,Assist others with data discovery and data preparation phase. We are looking for excellent Data Scientists to join our growing 20+ strong team....
Data Scientist Intern (Summer 2018),Rocket Software,"Austin, TX",,"Engage broadly with the end-users to frame, structure and prioritize operational efficiency problems where analytic projects or tools can have the biggest..."
Data Scientist 2,Oracle,"Austin, TX",,Data Scientist 2-17000T82. Identifies meaningful insights from large data and metadata sources; Interacts with product and service teams to identify questions...
Entry-Level Cognitive / AI / Machine Learning Software Developer,IBM,"Austin, TX 73344",,"You will create and maintain machine learning models with a focus on big data. You thrive on collaboration, working side by side with engineers and scientists..."
Scheduler,HDR,"Round Rock, TX 78681",,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists...."
Data Scientist II,Fresenius Medical Care,"Austin, TX",,"Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes...."
Data Scientist II: Yield Optimization,HomeAway,"Austin, TX",,Assist others with data discovery and data preparation phase. Description We are looking for excellent Data Scientists to join our growing 20+ strong team....
Senior Data Scientist - Machine Learning Engineer,IBM,"Austin, TX 73344",,We will teach the data scientists and sometimes people who desire to be data scientist to:. The elite team of data scientist will work with other IBMers and...
Lead Data Scientist,"RetailMeNot, Inc.","Austin, TX",,"In this role you will collaborate with a multidisciplinary team of data scientists, software engineers, data engineers, business analysts, product managers, and..."
Development Researcher - Research Analyst,University of Texas at Austin,"Austin, TX","$3,333 a month","Demonstrated proficiency in data collection, verification and analysis. Proactively seek new principal and major gift prospects through wealth screening, data..."
Data Architect,ViaSat,"Austin, TX",,As an internal player in the build the systems and tools that the data scientists use to perform their analysis....
Data Analytic Manager,eClerx LLC,"Austin, TX",,7-10 years of experience in an advanced analytics and/or data scientist role. Understanding of data manipulation technologies and data platforms (based on...
Operations Research / Data Science Engineer,IBM,"Austin, TX 73344",,We will teach the data scientists and sometimes people who desire to be data scientist to:. The elite team of data scientist will work with other IBMers and...
"Associate Instructor, Data Scientist",Galvanize,"Austin, TX 78701 (Downtown area)",,Join us in building the world's hub for education in data science and data engineering. We are growing our Data Science Instructional team at Galvanize....
"Research Staff Member, AI Learning",IBM,"Austin, TX 73344",,Experience analyzing large scale data from a variety of sources. We are looking for talented research scientists who are as passionate as we are about...
Content Engineer (remote),Simple [A],"Austin, TX 78701 (Downtown area)",,"We are analysts, programmers, developers, architects, content strategists, strategic consultants, data scientists, producers, marketers, writers and..."
Scientist,Exponent,"Austin, TX",,"Providing case management, data processing, writing, and other project support. Exponent’s Human Factors Practice is seeking a Scientist for our Austin, TX..."
Research Associate - Geosciences Data Analyst,University of Texas at Austin,"Austin, TX","$6,666 a month","Conduct research in state of the art hydrologic issues using desired skills in big data analytics, artificial intelligence, statistical tools, and machine..."
"Chemistry Analyst III, Research & Development","ICU Medical, Inc.","Austin, TX",,"Produce clear, consistent written documentation of data to support development studies, occasional routine testing, regulatory filings, or stability reports...."
Cognitive / AI / Machine Learning Software Developer Internship 2018,IBM,"Austin, TX 73344","Estimated salary: $94,000 - $120,000 a year","You will create and maintain machine learning models with a focus on big data. You thrive on collaboration, working side by side with engineers and scientists..."
Senior Machine Learning Research Scientist,ARM,"Austin, TX",,Arm-Research’s Machine Learning Group investigates emerging ML technologies and applications and how best to deploy them wherever computing happens; from...
Senior Machine Learning Research Scientist,ARM Ltd.,"Austin, TX",,About the role Arm-Research’s Machine Learning Group investigates emerging ML technologies and applications and how best to deploy them wherever computing...
Software Development Internship - Austin,CDK Global,"Austin, TX",,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours. From data scientists to sales and operations experts, we’re..."
Watson Health - Lead Research Analyst,IBM,"Austin, TX 73344",,3-5 years understanding of data storage in relational and or flat file environments and how data is manipulated using SAS or other similar languages....
Data Scientist - Global Center of Competence (CoC),IBM,"Austin, TX 73344","Estimated salary: $123,000 - $157,000 a year","The Data Scientist is an experienced practitioner in the areas of statistics, data mining and machine learning as applied to numerical, time series and text..."
Forensic - Chemistry Supervisor (Toxicology),City of Austin,"Austin, TX 78702 (Rosewood area)",$30.65 - $39.74 an hour,"Analyze and evaluate data in relation to the human body. Follow complex analytical protocol, make accurate observations and carefully interpret data;..."
Principal Machine Learning Engineer,Rocket Software,"Austin, TX",,You have experience with R or other such data science tools. You have a strong background in analyzing and discovering patterns in seemingly disparate data....
Forensic - Chemistry Supervisor (Toxicology),City of Austin,"Austin, TX 78702 (Rosewood area)",$30.65 - $39.74 an hour,"Analyze and evaluate data in relation to the human body. Follow complex analytical protocol, make accurate observations and carefully interpret data;..."
