position,company,location,salary,summary
"Data Analyst, Research Operations ��� Business Integrity",Facebook,"Menlo Park, CA",,"Data analysis skills. Data Analysts leverage Integrity data and tools to identify and communicate key metrics, insights, and information...."
"Intern, Machine Learning",Daimler,"Sunnyvale, CA",,"Your internship project can be in the areas of sensor data classification, traffic prediction, behavior planning or a similar topic that matches with our..."
"Reseach Scientist Intern, Machine Learning/Deep Learning",KLA-Tencor,"Milpitas, CA 95035",,We are looking for a candidate who is passionate on Machine Learning and Deep Learning research for image processing and computer vision applications. The...
Research Associate,Universities Space Research Association,"Moffett Field, CA",,"Ability to define problems, collect data, establish facts, and draw valid conclusions. Knowledge of instrument hardware and data acquisition software, while not..."
Staff Machine Learning Scientist / Engineer / JDY Team,Intellipro Group Inc.,"Santa Clara, CA",,Experience with big data platform such as Hadoop and Spark. We are looking for scientists and engineers with successful hands-on experience of applying advanced...
Machine Learning Scientist,Huawei,"Santa Clara, CA",,"The Big Data Intelligence Group is looking for a Machine Learning Scientist, to develop and apply algorithms and models in areas like nature language processing..."
"Sr. Data Scientist, Service Operations",Tesla Motors,"Fremont, CA",,"We are looking for a Data Scientist for the most progressive vehicle brand in the world. As a Data Scientist in Service, you will have the opportunity to apply..."
Data Scientist/Analytics Engineer (Machine Learning and Big Data),FICO,"San Jose, CA 95110 (Downtown area)",,"This includes the analysis of large amounts of historical data, determining suitability for modeling, data clean-up and filtering, pattern identification and..."
Senior Data Analyst,Intellipro Group Inc.,"Mountain View, CA 94040",,3-5 years of experience in a data analyst or data scientist role. Senior Data Analyst. Hands on experience with data visualization and data visualization tools....
Decision Scientist,Facebook,"Menlo Park, CA",,Statistical and data analysis/modeling skills (e.g. 5+ years of experience in data analysis. We are seeking a talented analyst who thrives at the Intersection...
"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"Silicon Valley, CA",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
Senior Data Scientist,Intuit,"Mountain View, CA 94039",,"Develop solutions to improve data quality and usability, provide analysis on different level of data aggregations, and make judgmental decision on data..."
Data Management Specialist,Stanford University,"Stanford, CA 94305",,"Lead the implementation of data standards and common data elements for data collection. The QSU is seeking a highly motivated, hard-working and professional..."
Sr. Data Scientist,Symantec,"Mountain View, CA",,"Qualifications Familiarity with one or more of Hive (preferred), Spark, Map Reduce highly desirable AWS Stack experience Redshift, Athena etc. preferred..."
"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"Silicon Valley, CA",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
"Decision Scientist, Marketing (WhatsApp)",Facebook,"Menlo Park, CA",,"The role will report into the director marketing and tap into a part of company-wide community of data scientists, data engineers and analysts:...."
"Sr. Data Scientist, Service Operations",Tesla Motors,"Fremont, CA",,"We are looking for a Data Scientist for the most progressive vehicle brand in the world. As a Data Scientist in Service, you will have the opportunity to apply..."
Senior Business Intelligence Manager,Intuit,"Mountain View, CA 94039",,We are looking for an experienced data leader to take our data visualization and analytics service offerings to the next level....
"Software Engineer, Algorithms and Machine Learning (New College Grad)",NVIDIA,"Santa Clara, CA",,"We are now looking for a Software Engineer, Algorithms and Machine Learning – New College Grad Nvidia’s invention of the GPU 1999 sparked the growth of the..."
Lead Data Scientist - Jemstep,Invesco,"Los Altos, CA",,Are you a seasoned data expert well-versed in multiple data technologies? They must be hands-on data experts with the ability to lead initiatives across an...
Intern - Machine Learning Performance Metrics,Intel,"Santa Clara, CA 95052",,Experience in researching and applying Data Science and/or Artificial Intelligence algorithms in software development....
DATA SCIENTIST,"GRAIL, Inc.","Menlo Park, CA",,"(e.g., as a statistician / data scientist / computational biologist / bioinformatician). (e.g., as a statistician / data scientist / computational biologist)..."
Sr. Data Scientist,YuMe,"Redwood City, CA 94063",,Join YuMe as a data scientist to be part of our efforts to build cutting edge digital advertising and marketing solutions....
"Quantitative Researcher, Growth",Facebook,"Menlo Park, CA",,"Knowledge in data manipulation and analysis (R/SAS/Stata, SQL/Hive). Knowledge in quantitative research methodologies (e.g., survey sampling and design,..."
