position,company,location,salary,summary
Data Scientist IV,DCP Midstream,"Denver, CO",,"Understands data elements, data models and working with structured or unstructured data sets. Strong background in advanced statistical and data science..."
Environmental Technician/Entry Level Scientist,GHD,"Golden, CO",,"Environmental Technician/Entry Level Scientist - GOL00101. Perform sampling, site inspections and other data collection...."
"Scientist 5, Enterprise Data & Analytics",Comcast,"Englewood, CO 80112",,"Preferred.- Experience with machine learning, deep learning, data mining, and/or statistical analysis tools and how to adapt and customize the underlying..."
Research Associate - Bioinformatics,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Prepares data for utilization by other scientists. Analysis of allele-specific expression data. Writes advanced scripts to access databases and analyze data....
Bioinformatics Analyst Trainee,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Writes custom web tools for scientists. Writes custom scripts to access databases and analyze data. Bachelors-level training in high-throughput data analysis...
Postdoctoral Scientist,University of Colorado,"Aurora, CO",,"Patch-clamp electrophysiology data acquisition and analysis. Creative, independent and motivated Postdoctoral Scientist sought to lead a collaborative NIH..."
Operations Research Systems Analyst,Leidos,"Englewood, CO 80111",,Description: Job Summary: Leidos has a opening for a Operations Research Analyst in Englewood Colorado . Candidate will conduct operations research on...
Bioinformatics Analyst I,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Writes custom web tools for scientists. Complete tasks in a Linux environment including primary analysis of sequence data (read mapping and gene expression...
K-12 Research Analyst II,National Conference of State Legislatures,"Denver, CO 80230 (Central East Denver area)","$3,486 a month","Collects and monitors data on legislative actions, state and federal programs, using library resources, available databases, and public and private..."
Business Intelligence Data Scientist,Chipotle Mexican Grill,"Denver, CO 80202 (Lodo area)",,Business Intelligence Data Scientist (17030694) Description Position Summary:. The Data Scientist will drive internal data analytics projects serving all areas...
"Intern, Marketing Operations & Data Analysis",Ping Identity,"Denver, CO 80202 (Lodo area)",,"At Ping Identity, we're changing the way people think about enterprise security technology. With our innovative Identity Defined Security platform, we're..."
Data Engineer,Return Path,"Broomfield, CO 80021",,"As a Data Engineer, you will collaborate with fellow engineers, data scientists and data analysts to support their needs and the needs of the business...."
Artificial Intelligence Software Engineer,KPMG,"Denver, CO 80202 (Lodo area)",,"Design, develop and maintain artificial intelligence-enabled managed services (APIs) with a team of Data Scientist, Software Engineers and Project Managers...."
Sr. Air Force Operations Research Analyst,Leidos,"Englewood, CO 80111",,Description: You will conduct research and analysis that employs a combination of advanced operations research methods in the study of complex and national...
Data Engineer,Return Path,"Broomfield, CO 80021",,"As a Data Engineer, you will collaborate with fellow engineers, data scientists and data analysts to support their needs and the needs of the business...."
Postdoctoral Researcher – Data-Driven Power System Analysis,National Renewable Energy Laboratory,"Golden, CO",,Stability analysis and prediction using synchrophasors Interconnection-wide and distribution level synchrophasor measurement data analytics Measurement-based...
Visualization Scientist,National Renewable Energy Laboratory,"Golden, CO",,"The Data, Analysis and Visualization group in NREL’s Computational Science Center has an immediate opening for a Computational Scientist to pursue a cross..."
Predictive Modeling Analyst,Vencore,"Aurora, CO",,"Ability to analyze multiple data sets and to present cohesive analysis findings. Vencore is a proven provider of information solutions, engineering and..."
D2V Scholar,University of Colorado,"Aurora, CO",,"Additionally, scholars will have theopportunity to engage in existing CU programs, providing unique experiences in scientific research areas including..."
CdTe Thin-Film Materials Processing Technician,National Renewable Energy Laboratory,"Golden, CO",,Performing work reproducibly with high degree of quality and reliability Recording data in computer databases ....
Roofing & Waterproofing Consultant - Denver,"Wiss, Janney, Elstner Associates","Denver, CO",,"Ability to record data clearly and write passages for reports, letters, etc. Wiss, Janney, Elstner Associates is a global firm of engineers, architects, and..."
Clinical Laboratory Scientist I,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,"Performs error correction, photocopy and data entry and compilation as required. Collects and organizes data before initiating analysis and asks questions to..."
Engineer I - Data Strategist (662144),Ball Aerospace,"Broomfield, CO",,"Technical data sourcing, management, and analysis. Open source data sourcing, management, and analysis. Our team of more than 3,000 engineers, scientists,..."
Clinical Laboratory Scientist I,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,"Performs error correction, photocopy and data entry and compilation as required. Collects and organizes data before initiating analysis and asks questions to..."
Prospect Research and Data Analyst,Nurse Family Partnership,"Denver, CO 80203 (Capitol Hill area)",,"This position will ensure that frontline fundraisers on our regional, institutional, and individual giving teams have the data and information that they need to..."
Clinical Laboratory Scientist Lead,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,"And preparing patient data for reporting. Compiles customized data for clients/studies as directed. For studies, may work on data compilation and writing..."
Data Scientist,Allegiance Consulting,"Denver, CO",,Our client is looking for several Data Scientists for a minimum 6-month project in South Denver. Adept at Data Wrangling /Data Munging....
