position,company,location,salary,summary
Research Assistant,Exponent,"Los Angeles, CA 90066",,Collecting and managing data. Supporting data collection efforts for a large user study conducted on behalf of a Fortune 50 company....
Data Scientist,EcoSense Lighting,"Los Angeles, CA 90017",,We are looking for a Data Scientist. Proficient in data mining processes and optimization. Analyze data from a wide range of sources to discover insights and...
Software Engineer III - Machine Learning,Jet Propulsion Laboratory,"Pasadena, CA",,"Geospatial / space-based data, Natural Language Processing. Sklearn, scipy, Apache Big Data suite, openCV. The Instrument Software and Science Data Systems (Org..."
Research Analyst,TechStyle Fashion Group,"El Segundo, CA",,Analyze quantitative and qualitative research data results including pulling data and proofing data tables accurately....
Data Scientist,Clicktripz,"Manhattan Beach, CA",,"Clicktripz is looking for a skilled Data Scientist. Excellent communication skills - while the Data Science group is currently located in Los Angeles, we are a..."
Data Engineer,Retention Science,"Santa Monica, CA 90405",,We are looking for passionate data engineers to scale out our platform and collaborate with data scientists to implement and improve our machine learning models...
Senior Data Scientist,Dollar Shave Club,"Marina del Rey, CA 90292",,"This DATA SCIENCE ENGINEER will work in the Data Engineering Team, which is a Center of Excellence for Data Science, Data Transport and Cluster Computing at DSC..."
Data Science Developer,KORNFERRY,"Los Angeles, CA",,Develop interactive data visualizations that allow our clients to explore their own data. Korn Ferry’s expanding team of data scientists plays an important role...
Machine Learning Undergrad Intern,The Aerospace Corporation,"El Segundo, CA 90245",,Participation in extracurricular activities related to data science (e.g. Desire to learn the vast and expanding field of data science and machine learning....
Lead or Principal Data Scientist,NBCUniversal,"Beverly Hills, CA",,"Utilize a variety of rich data sources such as transactional, web data, social data, emails, and streaming data...."
Quantitative Investment Solutions Analyst,Western Asset Management,"Pasadena, CA",,"Sourcing, validation and scrubbing of source data; The QIS Analyst uses traditional statistical and machine learning data science methods applied to time series..."
Statistician,"First Capitol Consulting, Inc.","Los Angeles, CA",,The Workforce Statistician is responsible for designing and presenting pay equity analysis to our clients. Be accountable for pay equity analysis by...
Research Scientist,USC,"Playa Vista, CA",,Analyzes research data and provides interpretations. The opening is for a Research Scientist (with opportunity to become Research Assistant Professor in...
Research Scientist,SDL,"Los Angeles, CA 90045",,"Hands-on experience with large-scale data processing. As a Research Scientist, you will assist in shaping the...."
Senior Data Scientist,BCG Digital Ventures,"Manhattan Beach, CA",,"Big Data and Fast Data (i.e.:. Build innovative data products (e.g., Artificial Intelligence, real-time services, such as personalization and commerce graphing..."
Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Scientific Modelers, together with Data Scientists, Data Engineers and Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are..."
Data Scientist,Grindr,"Los Angeles, CA 90046",,Experience building real-time data pipelines within high volume data environments. We have embedded analysts on the team - the Data Scientist will be the...
"RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,"Los Angeles, CA","$58,416 - $72,571 a year","Research experience working with Statistical Analysis Software (SAS) package, Microsoft ACCESS, and Microsoft Excel to import/export, manage large data sets..."
"Senior Analyst, Quantitative Research",Kelton Global LLC,"Los Angeles, CA",,WHO WE ARE: Kelton is a strategy consultancy that creates consumer-oriented business solutions based on core human truths. We create brand relevance and...
Analyst - GAMMA,The Boston Consulting Group,"Los Angeles, CA",,"Scientific Modelers, together with Data Scientists, Data Engineers and Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are..."
"Scientist, Analytical Development","Kite Pharma, Inc.","Santa Monica, CA",,"Train technical staff, assign duties, and review data. Excellent skill in Microsoft Office, data analysis software, and other applications...."
Machine Learning Undergrad Intern,The Aerospace Corporation,"El Segundo, CA 90245",,Participation in extracurricular activities related to data science (e.g. Desire to learn the vast and expanding field of data science and machine learning....
Senior Statistician,UCLA HEALTH,"Los Angeles, CA",,"Under the supervision of the Manager of the Data Analysis team, the incumbent will lead statistical analysis and supervise data managers and graduate student..."
Senior Data Scientist,Grindr,"Los Angeles, CA 90046",,Experience building real-time data pipelines within high volume data environments. We have embedded analysts on the team - the Senior Data Scientist will be the...
Data Scientist,Kaiser Permanente,"Pasadena, CA",,Recommends and advocates for additional data and/or services needed to address key business issues related to process or solutions design....
Sr. Data Scientist,"Neustar, Inc.","Los Angeles, CA",,"Data Scientist (Open). Data Scientists work closely with various teams including data acquisition, data products, data sciences and various business units..."
Research Associate,USC,"Los Angeles, CA","$44,662 - $74,434 a year","The candidate will work in close collaboration with a diverse team consisting of cancer researchers, computational scientists and clinicians to generate and..."
Research Analyst - Los Angeles,Cushman & Wakefield,"Los Angeles, CA",,Compile statistical data specific to client or service line by translating and converting data to graphs/tables/charts....
"Lead Data Scientist, Marketing (Aftershock)",Twentieth Century Fox,"Los Angeles, CA",,"The Lead Data Scientist, Marketing is responsible for the design and management of FoxNext Games’ marketing optimization platform, which guides our media buying..."
Sr. Data Engineer,Dollar Shave Club,"Marina del Rey, CA 90292",,"This DATA ENGINEER will be a member of the Data Science & Engineering Team, which is a Center of Excellence for Data Science, Data Transport and Cluster..."
Data Scientist,AIG,"Woodland Hills, CA",,"Understanding complex business challenges, designing scientific solutions, manipulating large data sets, using cutting edge machine learning or statistical..."
"Lead Data Scientist, Marketing (Aftershock)",Twentieth Century Fox,"Los Angeles, CA",,"The Lead Data Scientist, Marketing is responsible for the design and management of FoxNext Games’ marketing optimization platform, which guides our media buying..."
Exploratory Data Analysis Instructor,UCLA Extension,"Los Angeles, CA","$2,650 a month","The key goal of Data Science is to obtain insights from data. You will learn the iterative process of EDA, data analysis techniques, data exploration, and..."
"Director, Data Science",NBCUniversal,"Universal City, CA",,"Experience leading teams of data scientists or engineers. Driving the development of data models (i.e. Understanding of Big Data technologies (Cassandra, Spark,..."
Research Analyst,Athgo International,"Sherman Oaks, CA",,The position requires quantitative and qualitative data analysis and reporting skills. The Research Analyst is responsible for designing and conducting analyses...
Business Analyst,ZestFinance,"Los Angeles, CA",,Work closely with our team of data scientists who build machine learning models; Applies its unique credit-decisioning technology platform — based on data...
Analyst,Riot Games,"Los Angeles, CA",,"As an Analyst, you’ll join the Insights discipline – the group of researchers, analysts, data scientists and strategists responsible for solving problems and..."
Postdoctoral Scholar–Research Associate,USC,"Playa Vista, CA",,"Analyzes research data and provides interpretations. Physiological data collection, such as EEG, is a desirable...."
Research and Data Processing Analyst,Los Angeles Universal Preschool,"Los Angeles, CA",,"Coordinate, conduct, and oversee data collection, data entry and data cleaning and ensure quality control (e.g., surveys, direct assessment, observations,..."
"Intern – Data Scientist, Data Analytics & Insights",NBCUniversal,"Universal City, CA",,Proven track record of leveraging data science and big data to drive significant business impact. Responsibilities • Integrate multiple data sources and define...
Market Research Analyst,DJI,"Burbank, CA",,Market Research Analyst Home Jobs Market Research Analyst Location Burbank Position Marketing Responsibilities: Research and analyze market conditions in...
Computer Vision Engineer,NeoHire South,"Santa Monica, CA",,Computer Vision Scientist. Excellent data visualization skills. Experience of working with video data sets; Genius Sports is seeking a computer vision expert...
Research Analyst,Athgo International,"Sherman Oaks, CA",,The position requires quantitative and qualitative data analysis and reporting skills. The Research Analyst is responsible for designing and conducting analyses...
Operations Research Analyst,Southern California Gas Company,"Los Angeles, CA",,"Write software, set up functions, enter data, or process information. Define data requirements and gather and validate information, applying judgment and..."
Research Assistant - Arabic (Bachelor's level),RAND,"Santa Monica, CA 90401",,"Research Assistants work with teams of experienced researchers, including software developers, engineers, physicists, policy scientists, and economists...."
"Quantitative Analyst, Health Research Microsimulation",USC,"Los Angeles, CA",,"Manages large data files. Experience with large administrative databases, survey data, claims data, electronic health records data Demonstrated creativity and..."
Data Engineer,Chef'd,"El Segundo, CA 90245",,"Provide our data scientists needed data through ad hoc queries and data wrangling. As a data engineer, you will collect and transform data by building streaming..."
ISC - Data Scientist,Ipsos North America,"Culver City, CA",,"As a Data Scientist, you will:. Experience in analytics, extracting and surfacing value from quantitative data...."
Advancement Research Analyst,The Huntington,"San Marino, CA",,Analyze and report on data. Data and the final interpretation of its meaning. Under the direction of the Advancement Services Director the Research....
Principal Machine Learning Engineer,Raytheon,"El Segundo, CA",,"The ideal candidate will be an engineer, mathematician or physicist with experience in machine learning, neural networks, data analysis and modeling and..."
Principal Data Scientist,GoGuardian,"El Segundo, CA",,"7 years+ experience as Data Scientist (data analysis, visualization, ML) with relevant work experience. Building tooling to support related efforts such as data..."
Spanish Speaking Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Russian Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Japanese Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Farsi Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
Chinese Speaking Open Source Research Analyst,The Camstoll Group,"Los Angeles, CA",,"Utilizing proprietary open-source research methods, network analysis, and data analytics, we generate insights into today's most complex policy, regulatory, and..."
"Director, Data Science",ZestFinance,"Los Angeles, CA",,"3+ years managing a team of data scientists. Lead a team of 10+ data scientists in developing high-quality, robust predictive algorithms...."
"Research Analyst, Institutional Planning and Research, Doheny Campus",Mount Saint Mary's University,"Los Angeles, CA",,"Troubleshooting and manipulating data; Good knowledge of applicable data privacy practices and laws. Provide data and analytic support for large scale, multi..."
"Manager, Machine Learning Modeler / Data Scientist",ZestFinance,"Los Angeles, CA",,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus...."
Spacecraft Data Analyst,The Aerospace Corporation,"El Segundo, CA 90245",,Analyze data from spacecraft. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....
Computer Scientist - Artificial Intelligence,USC,"Marina del Rey, CA",,ISI welcomes applications from computer scientists in any of the following areas:. ISI scientists have the opportunity to spend the majority of their time doing...
