position,company,location,salary,summary
Senior Data Scientist,Rover,"Seattle, WA",,"What does Data Science mean at Rover? You’re a deeply analytical thinker who is passionate about finding structure in data, and using data to drive real value..."
Software Engineer- Machine Learning,Belkin,"Seattle, WA",,"What you’re getting into We’ve got big collaborative spaces for your big ideas, so bring an open mind and leave your suit in the closet. We all are committed..."
"Senior Manager, Data Science",Porch,"Seattle, WA",,"You will lead a team of data scientists, analysts, and engineers to build scalable solutions to complex problems across the organization...."
Statistician,T-Mobile,"Bellevue, WA 98006 (Somerset area)",,Data extraction and data mining experience for modeling and analysis. Determine statistically significant patterns in data;...
Principal Data Scientist,Redfin,"Seattle, WA",,"As a Principal Data Science Engineer, your job is to identify and solve challenging problems and productize our massive store of market and user data to turn it..."
Principal Data Scientist,SpaceCurve,"Seattle, WA",,"Lead Data Scientist. To be considered for our Lead Data Scientist, you will need:. You’ve been a data scientist longer than the term’s been in vogue...."
"Data Scientist, Analytics",Facebook,"Seattle, WA",,We’re looking for Data Scientists to work on our core and business products (ex. Experience manipulating data sets through statistical software (ex....
Head of Data Science,Microsoft,"Redmond, WA 98052",,"Build a team of highly talented data scientists. 10 years’ experience in data analytics or data sciences. 15+ years of relevant experience in data analytics,..."
Senior Data Scientist,Microsoft,"Bellevue, WA",,Experience with online data; Experience with online-advertising data strongly preferred. Data is critical to achieving that mission....
Software Engineer II - Azure Machine Learning,Microsoft,"Redmond, WA 98052",,"Experience with cloud and data platforms such as Microsoft Azure, Hadoop, SPARK, etc. is a plus. Experience in systems, networking, data structures, analysis of..."
"Senior Data Scientist - Imagination Data Science, Business Insurance",Liberty Mutual,"Seattle, WA","$111,500 - $160,000 a year",Imagination Data Science. (IDS) is seeking a Senior Data Scientist at the Assistant Director or Director. Help interpret insurance data....
"Research Intern, Machine Learning (PhD University Student)",Facebook,"Seattle, WA",,"Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources. Perform research that enables learning the semantics of..."
"Senior Data Scientist, Machine Learning","ExtraHop Networks, Inc.","Seattle, WA",,"Demonstrate and share your passion and understanding of data science. Big Data , the cloud, elastic computing, SaaS, AWS, BYOD, HPC, SDN—we do it all...."
Statistical Geneticist,Adaptive Biotechnologies,"Seattle, WA 98102 (Capitol Hill area)",,"Experience collaborating with wet lab scientists on data generation and analysis. Statistics, Biostatistics, Computational Biology, Programming, Data..."
Data Scientist/Technical Writer(position 1),Posh Technologies,"Redmond, WA",,Data Scientist/Technical Writer. Perform and interpret data studies and product experiments concerning new data sources or new uses for existing data sources....
"Research Intern, Machine Perception",Facebook,"Redmond, WA",,Oculus Research's Surreal Vision team is looking for the next generation of scientists and engineers to tackle the most ambitious problems in machine perception...
"Senior Data Scientist, Machine Learning","ExtraHop Networks, Inc.","Seattle, WA",,"Demonstrate and share your passion and understanding of data science. Big Data , the cloud, elastic computing, SaaS, AWS, BYOD, HPC, SDN—we do it all...."
"Business Analytics Specialist, Strategy and Commercial Analytics",Microsoft,"Redmond, WA 98052",,"In this role, you will be in a project-based setting, collaborating with other roles to solve complex and forward-looking business problems (Business..."
Research Scientist II (GMP),Seattle Children's Hospital,"Seattle, WA",,"Please note this position is for a GMP Research Scientist I or II; Makes detailed observations, records data, as well as assesses the processes and results for..."
"Research Scientist, Machine Perception and Learning (PhD University Grad)",Facebook,"Redmond, WA",,Analysis of computing data hierarchy from cloud to mobile device client. Formulation of new ML and data analysis approaches that harness always on device...
