position,company,location,salary,summary
Machine Learning Applied Research Scientist,Adobe,"San Jose, CA",,"Experience with Spark, big data processing, Hadoop. Work on building state of the art machine learning models leveraging data mining, big data, deep learning,..."
Physics Based Machine Learning Research Scientist,KLA-Tencor,"Milpitas, CA 95035",,Write production modeling code at scale for high data rate systems. Design and perform experimental data analysis to gain deep understanding of the problem....
Machine Learning Scientist,Adobe,"San Jose, CA",,We are seeking for a machine learning/ data scientist expert to help us develop analytical model to analyze the large quantities of live and historic data we...
"Curriculum Developer, Deep Learning Institute",NVIDIA,"Santa Clara, CA",,"Developing effective curriculum and training content for data scientists, researchers, and engineers. The work involves collaborating with internal and external..."
Physics Based Machine Learning Research Scientist,KLA-Tencor,"Milpitas, CA 95035",,Write production modeling code at scale for high data rate systems. Design and perform experimental data analysis to gain deep understanding of the problem....
Deep Learning Inference Software Engineer (TensorRT),NVIDIA,"Santa Clara, CA",,"Artificial intelligence, the dream of computer scientists for over half a century, is no longer science fiction...."
Machine Learning Scientist,Adobe,"San Jose, CA",,We are seeking for a machine learning/ data scientist expert to help us develop analytical model to analyze the large quantities of live and historic data we...
Data Engineer,Walmart eCommerce,"Sunnyvale, CA",,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
Data Engineer,Khan Academy,"Mountain View, CA",,Data Science team blog. You’ll need to understand the product implications of data transformations or A/B test conversions and be able to convey uncertainties...
Data Scientist/Machine Learning Research Engineer,Samsung SDS America,"San Jose, CA",,"Research and develop AI algorithms to process and interpret data, including visual, audio, text, and other structured and non-structured data, leading to..."
SEDA Research Data Analyst,Stanford University,"Stanford, CA 94305","Estimated salary: $48,000 - $61,000 a year","Documenting data generating processes of SEDA data set for technical and non-technical audiences. Identifying potentially problematic data, make corrections,..."
Sr Data Scientist,Tesla Motors,"Fremont, CA",,"Experience with big data frameworks such as Hadoop/Spark and SQL. Design and implement big data workflows using Python, SQL, Hadoop, Spark, Matlab and R...."
Business Analyst,McAfee,"Santa Clara, CA 95054",,"You can be an architect, scientist , threat researcher, or a coder as long as you design things that matters...."
"Senior Data Scientist, Machine Learning",MachineZone,"Palo Alto, CA",,"As a Data scientist on our Marketing Engineering team, you will design predictive Machine Learning Algorithms on very large data sets, involving billions of..."
Product Scientist - R&D and Machine Learning,"23andMe, Inc.","Mountain View, CA 94041",,"Be a significant contributor on longer term R&D projects to develop, validate, and translate research data into novel consumer products...."
applied machine learning intern,light.io,"Palo Alto, CA",,Light is a team of creative technologists on a mission to reimagine the art and science of photography. We are a venture-backed startup creating a radically...
Sr Data Analyst – VUDU,Walmart eCommerce,"Sunnyvale, CA",,"Sr Data Analyst – VUDU. Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to..."
"Applied Research Scientist, Natural Language Processing",Facebook,"Menlo Park, CA",,Facebook is seeking an Applied Research Scientist to join our Language and Translation Technologies Team in Menlo Park....
"People Research Scientist, Diversity Analytics",Facebook,"Menlo Park, CA",,"Collaborate with data engineering and visualization engineers to access and manipulate data, explain data gathering requirements, and display results...."
Machine Learning Research Scientist,Paypal,"San Jose, CA",,Prior work experience with big data preferred. The AI & Machine Learning R&D Team in PayPal is looking for talented applied research scientist to work on deep...
18' Spring Data Science PhD Intern-SAMSUNG Pay,Samsung Research America,"Mountain View, CA 94043",,Working knowledge of big data tools and data pipelines. Come join the Samsung Pay Data Science team and enjoy building state-of-the-art data solutions!...
2018 Applied Scientist (Machine Learning),"A2Z Development Center, Inc.","Sunnyvale, CA",,"Experience with large data sets. PhD in Machine Learning, Data Mining, Statistics, Applied Mathematics, or a related field...."
Staff Engineer - Machine Learning,Intuit,"Mountain View, CA 94039",,Main differences with Data Scientists. More data exploration less database data modeling. Knowledge of data query and data processing tools (i.e....
Machine Learning Engineer,"Linc Global, Inc.","Sunnyvale, CA",,"Strong analytical skills, data driven mindset. Strong knowledge in general software design, data structures, and relational database...."
Machine Learning Research Scientist,Paypal,"San Jose, CA",,Prior work experience with big data preferred. The AI & Machine Learning R&D Team in PayPal is looking for talented applied research scientist to work on deep...
Senior Data Scientist,Intuit,"Mountain View, CA 94039",,"Develop solutions to improve data quality and usability, provide analysis on different level of data aggregations, and make judgmental decision on data..."
Data Engineer,"Tensyr, Inc.","Mountain View, CA 94043",,Prototype and build data analysis pipelines iteratively to provide insights on data from various sensors....
Research Scientist-Parallel Computing,Intel,"Santa Clara, CA 95052",,Job Description Intel Labs is seeking motivated researcher in the area of parallel and distributed computing research applied towards high performance...
"Intern, Machine Learning",ARM,"San Jose, CA",,"As the industry's leading supplier of microprocessor technology, Arm provides efficient, low-power chip intelligence making affordable, easy-to-use electronic..."
"Intern, Machine Learning",ARM Ltd.,"San Jose, CA",,"As the industry's leading supplier of microprocessor technology, Arm provides efficient, low-power chip intelligence making affordable, easy-to-use electronic..."
Senior Data Scientist,Chegg,"Santa Clara, CA 95054",,"SENIOR DATA SCIENTIST. It is a team composed of data scientists, engineers, mathematicians, statisticians, and business analysts...."
"Sr. Data Scientist, Service Operations",Tesla Motors,"Fremont, CA",,"We are looking for a Data Scientist for the most progressive vehicle brand in the world. As a Data Scientist in Service, you will have the opportunity to apply..."
Research & Development Scientist and Engineer 2,Stanford University,"Stanford, CA 94305",,The position involves working with a team of data scientists and engineers to examine pressing issues in public policy....
Sr. Staff Data Scientist,Intellipro Group Inc.,"Santa Clara, CA 95050",,"We are seeking a highly motivated data scientist to work on log analytics, anomaly detection, and causal analysis...."
