position,company,location,salary,summary
Junior Data Scientist/Software Engineer,CCRi,"Aurora, CO",,"CCRi is looking for smart, innovative data scientists with analytical and software engineering skills. Data Processing and Analytics:...."
Machine Learning Data Analyst,Cognizant,"Denver, CO",,"Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments...."
Operations Research Analyst,Department of the Air Force,"Buckley AFB, CO","$72,168 - $155,073 a year","An example of specialized experience includes extracting& organizing raw cost data under general direction from the team leader, conducting basic mathematical..."
Big Data Developer,Forsythe,"Centennial, CO",,"Work closely with AWS architects, Big Data managers and Data Scientists, and ask appropriate questions to understand scope of work and provide accurate schedule..."
Quantitative Research and Risk Analyst,Charles Schwab,"Lone Tree, CO 80124",,"Description: Lone Tree - CO, DENR2, 9800 Schwab Way, 80124 Axle J Marcoline 20170721-3736 We believe that , when done right, investing liberates people to..."
Sr. Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Data Scientist,BAE Systems,"Buckley AFB, CO 80011 (Norfolk Glen area)",,"As a Data Scientist, you will leverage knowledge of data science, methodologies, and processing techniques to perform predictive analytics in the geospatial..."
Lead Data Scientist,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Analyst-Data Research I,S&P GLOBAL MARKET INTELLIGENCE,"Centennial, CO",,Do you love data? Prior experience with data entry a big advantage. Display a real passion for accuracy and dedication to detail in support our 100% data...
Analyst-Data Research I,S&P Global,"Centennial, CO",,Do you love data? Prior experience with data entry a big advantage. Display a real passion for accuracy and dedication to detail in support our 100% data...
Data Reporting Analyst Associate - Research Informatics Analyst,Children's Hospital Colorado,"Aurora, CO",,"Gathers functional and technical requirements to design, build, test, deliver and manage data repositories, reporting, ETL, data warehouse, registry or data..."
Research Scientist,CACI,"Aurora, CO 80010 (Delmar Parkway area)",,"Possess excellent data gathering, analytical, and problem solving skills. BIT Systems Inc...."
Business Analyst,NBI Resources,"Aurora, CO",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
Research Analyst,Denver Investments,"Denver, CO",,"Perform data collection, industry research, analysis, and report conclusions to aid in the investment decision-making process...."
RESEARCH ANALYST,Kroenke Sports & Entertainment,"Denver, CO",,Ability to conduct in-depth data analysis. Ability to work with large data sets. Seeks ways to automate reporting for recurring data analysis....
Data Analytics Manager,Telligen,"Greenwood Village, CO 80111",,"Data Analytics Manager. Ensures customer satisfaction through the technical development, testing, and documentation of the data analysis solutions...."
Sr. Data Scientist (Technology & Operations),Ascend Learning,"Greenwood Village, CO",,"Ascend Learning is hiring a Senior Data Scientist to join our team. Reporting to the VP Data and Analytics, this person is responsible leading a small team of..."
Senior Data Scientist,Layer3 TV,"Denver, CO","Estimated salary: $89,000 - $113,000 a year",Layer3 TV is seeking a data scientist with exceptional technical aptitude and the ability to draw insights from data....
"Associate, Data Scientist",KPMG,"Denver, CO 80202 (Lodo area)","Estimated salary: $101,000 - $128,000 a year","Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and..."
"Analyst, Research",JLL,"Denver, CO",,"Passion for technology, analytics, and data visualization tools. This team member will enhance our offerings in the areas of business intelligence, data..."
"Analyst, Research",JLL,"Denver, CO",,"Passion for technology, analytics, and data visualization tools. This team member will enhance our offerings in the areas of business intelligence, data..."
Sr. Data Scientist/Data Integration,BP,"Denver, CO",,"The data and analytics organization are teams of highly experienced data scientists, data engineers, data management and quality experts, reporting and..."
Principal Engineer I - Data Scientist,Spectrum,"Centennial, CO",,"The Principal Engineer- Data Scientist will be responsible for designing, building and extracting large and complex data sets while thinking strategically about..."
PRA - QC Analyst,University of Colorado,"Aurora, CO",,"As needed, assist development scientists and operations with technical/operational support. Excellent communication skills in both written as well as..."
Senior Data Scientist,Comcast,"Denver, CO 80202 (Lodo area)",,Who does the Data Scientist work with? 4+ years working within an enterprise data warehouse environment or big data architecture....
US Head of Data Architecture and Analysis,Janus Henderson,"Denver, CO",,"Data feeds between the central data hub/warehouse and business applications or data marts. Architectural and data schema design in the data hub, warehouses and..."
