position,company,location,salary,summary
Office Assistant,National Ecological Observatory Network Inc,"Boulder, CO",,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers..."
Environmental Technician/Entry Level Scientist,GHD,"Golden, CO",,"Environmental Technician/Entry Level Scientist - GOL00101. Perform sampling, site inspections and other data collection...."
Measurement Science,"Muse Biotechnology, Inc.","Boulder, CO",,Support process development by interpreting data and providing guidance for process optimization. We are looking for a highly talented Scientist to be a key...
US Head of Data Architecture and Analysis,Janus Henderson,"Denver, CO",,"Data feeds between the central data hub/warehouse and business applications or data marts. Architectural and data schema design in the data hub, warehouses and..."
Habitat Team Spring Intern,Environmental Defense Fund,"Boulder, CO 80302",$14.28 an hour,"Help design, and input data methodically in a Google spreadsheet. Work closely with staff scientists shape the research questions and analysis for this project...."
Cell Biology & Translational Medicine Scientist,Array BioPharma,"Boulder, CO 80301",,"Plans, designs and initiates studies, and analyzes the data. Generates in-vitro data that support investigational new drug filings for product candidates...."
Administrative Associate III-Travel (662165),Ball Aerospace,"Lafayette, CO",,"Accounting skills for reconciliations, accruals and daily data analyses with a strong competence in Microsoft Office, especially Excel...."
Sr. Market Research Analyst,TSYS,"Broomfield, CO",,"Data visualization tools such as Tableau. Works independently to analyze marketing data, interpret it for brand impact and report to management on implications..."
Science Writer/Media Relations Professional,University of Colorado,"Boulder, CO",,"And data visualization. Identify stories of wide public interest for news packaging by meeting with campus scientists to discuss latest research efforts, and..."
Competitive Research Analyst,Layer3 TV,"Denver, CO",,"Strong analytical skills, including ability to analyze large data sets, identify insights, and synthesize how insights impact business decisions...."
Administrative Associate II (661909) - Current security clearance required,Ball Aerospace,"Broomfield, CO",,"Gather and interpret data; Prepare various schedules and perform data entry, etc. Our team of more than 3,000 engineers, scientists, technicians and support..."
Sr. Research Associate/Research Scientist/Scientist I - Bioinformatics,"Somalogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
"Food Scientist, Product Development Innovation",Dean Foods,"Broomfield, CO 80021",,Tactical decision-making ability using sound scientific principles and data analytics. Job Description & Requirements....
Material Control Analyst I (662024),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Technical Systems Manager --Research & Innovation,DANONE,"Louisville, CO",,"Aptitude for training and collaborating with a wide variety of personalities including scientists, engineers, and business partners...."
Knowledge Management Analyst,National Ecological Observatory Network Inc,"Boulder, CO",,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers..."
Data Scientist,BAE Systems,"Buckley AFB, CO 80011 (Norfolk Glen area)",,"As a Data Scientist, you will leverage knowledge of data science, methodologies, and processing techniques to perform predictive analytics in the geospatial..."
Scientist I/II - Bioinformatics 2017-166,"SomaLogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
Scientist I/II - Bioinformatics,"Somalogic, Inc.","Boulder, CO 80301",,Experience analyzing “wide” data sets (more covariates than observations). Experience working with large data sets in a Health Science or Clinical field....
Security Data Science Director,Great-West,"Denver, CO",,Experience managing Data Scientists. Great-West Financial is looking for a high-energy Director of Data Science to help build out a centralized security...
RESEARCH SCIENTIST - OUTER SOLAR SYSTEM,Southwest Research Institute,"Boulder, CO",,"Experience is data analysis of spacecraft data, IDL and other scientific coding languages, ice science (laboratory, in situ or remote), peer-reviewed journal..."
Analyst II-Project Controls (661697),Ball Aerospace,"Boulder, CO",,Compile and analyze Sales Forecast data and cost estimating data. Organize cost and/or schedule data for monthly/quarterly program reviews....
Associate Mission Systems Analyst (661328),Ball Aerospace,"Westminster, CO",,"Participate in test data collection and evaluation. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements..."
Sr. Office Assistant,National Ecological Observatory Network Inc,"Boulder, CO",,"Gather and research data to create reports as needed for designated teams. A 30+ year project dedicated to understanding how changes in climate, land use and..."
Research Scientist,CACI,"Aurora, CO 80010 (Delmar Parkway area)",,"Possess excellent data gathering, analytical, and problem solving skills. BIT Systems Inc...."
Data Scientist IV,DCP Midstream,"Denver, CO",,"Understands data elements, data models and working with structured or unstructured data sets. Strong background in advanced statistical and data science..."
PostDoctoral Associate,University of Colorado,"Boulder, CO",,"Applicants must complete the Faculty/University Staff and EEO Data (application) form, and upload the following required documents:...."
Research Associate - Bioinformatics,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Prepares data for utilization by other scientists. Analysis of allele-specific expression data. Writes advanced scripts to access databases and analyze data....
Bioinformatics Analyst Trainee,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Writes custom web tools for scientists. Writes custom scripts to access databases and analyze data. Bachelors-level training in high-throughput data analysis...
Data Reporting Analyst Associate - Research Informatics Analyst,Children's Hospital Colorado,"Aurora, CO",,"Gathers functional and technical requirements to design, build, test, deliver and manage data repositories, reporting, ETL, data warehouse, registry or data..."
Business Intelligence Data Scientist,Chipotle Mexican Grill,"Denver, CO 80202 (Lodo area)",,Business Intelligence Data Scientist (17030694) Description Position Summary:. The Data Scientist will drive internal data analytics projects serving all areas...
Bioinformatics Analyst I,National Jewish Health,"Denver, CO 80206 (Central East Denver area)",,Writes custom web tools for scientists. Complete tasks in a Linux environment including primary analysis of sequence data (read mapping and gene expression...
Engineer I-Mission Systems Analyst (662223),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Business Analyst,NBI Resources,"Aurora, CO",,Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...
"Intern, Marketing Operations & Data Analysis",Ping Identity,"Denver, CO 80202 (Lodo area)",,"At Ping Identity, we're changing the way people think about enterprise security technology. With our innovative Identity Defined Security platform, we're..."
"Sr Staff Scientist, R&D",DigitalGlobe,"Westminster, CO",,Experience with 3D and elevation data. Please review the job details below....
Associate Range Engineer (662328),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Associate Industrial Engineer (661975),Ball Aerospace,"Westminster, CO",,"Identify and implement ways to automate data collection and analysis. Our team of more than 3,000 engineers, scientists, technicians and support staff drives..."
Associate Structural Engineer (661396),Ball Aerospace,"Westminster, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
Embedded Software Engineer I (662365),Ball Aerospace,"Boulder, CO",,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace...."
