position,company,location,salary,summary
Post Doctoral Research Associate - Mellon College of Science,Carnegie Mellon University,"Pittsburgh, PA",,An ability to cooperate with scientists of varied expertise is essential. Analyze and evaluate next generation sequencing data and carry out bioinformatics...
Software Developer - Simon Initiative,Carnegie Mellon University,"Pittsburgh, PA","$43,000 - $75,000 a year","Collaborate with software engineers, learning scientists, course developers, domain experts, visual designers and usability specialists to define software..."
Senior Research Scientist,Duolingo,"Pittsburgh, PA",,Experience manipulating and analyzing various data from different sources. Take on important and challenging research problems with massive real-world data sets...
Clinical Research Scientist,Cook Medical,"Pittsburgh, PA",,"Strong background in data mining, data analysis, literature review, and medical and/or regulatory writing. The Clinical Research Scientist plays an integral..."
Optical Fiber Sensor Scientist,Oak Ridge Associated Universities,"Pittsburgh, PA",,Optical Fiber Sensor Scientist. Strong collaborative interactions are expected with material scientists as well as other device level scientists focused on the...
Research Associate III - Mellon College of Science,Carnegie Mellon University,"Pittsburgh, PA",,An ability to cooperate with scientists of varied expertise is essential. Analyze and evaluate next generation sequencing data and carry out bioinformatics...
Environmental Project Scientist,"Alliance Source Testing, LLC","Pittsburgh, PA",,Test data quality control. Alliance Source Testing (Alliance) is currently seeking to fill a Project Scientist position....
Senior Research Scientist - 2006820,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,"As a senior research scientist on our team, you will identify, shape, apply, conduct, and lead research that matches critical U.S...."
Software Engineer - Simon Initiative,Carnegie Mellon University,"Pittsburgh, PA","$60,000 - $97,000 a year","Collaborate with software engineers, learning scientists, course developers, domain experts, visual designers and usability specialists to define software..."
Laboratory Specialist,The University of Pittsburgh,"Pittsburgh, PA",,"Also, it is essential for the incumbent to troubleshoot technical issues, execute statistical analyses, and present data at internal meetings...."
Senior. Analyst - Primary Research,Highmark Health,"Pittsburgh, PA",,Prior experience with developing and presenting analysis of primary research data is essential. Training in specific marketing research methodologies such as...
Medical Science Liaison (MSL),Helomics,"Pittsburgh, PA",,"Identifies, establishes and maintains collaborative relationships with key industry scientists, physicians, institutions, groups and consortia strategic to the..."
"Analyst I, Manager Research - Wealth Management",BNY Mellon,"Pittsburgh, PA 15219 (Middle Hill area)",,"Across a specific asset class (Equity, Fixed Income, Alternatives, Real Assets, etc), the Analyst will be responsible for managing relationships with..."
pH Sensing Layer Development,Oak Ridge Associated Universities,"Pittsburgh, PA",,Strong collaborative interactions are expected with device level scientists as well as other materials scientists focused on the optimization of solid-aqueous...
CNUP Assistant,The University of Pittsburgh,"Pittsburgh, PA","$18,564 - $28,860 a year","Expertise with Mac and PC computer formats, word processing, data base, and spread sheet packages. Their research interests span the breadth of neuroscience,..."
Business Analytics Consultant Sr,PNC Financial Services Group,"Pittsburgh, PA 15289 (Central Business District area)",,"As a Data Scientist, in the Treasury Management Organization, you will interact closely with Products, Strategy, Sales, and Technology experts to derive..."
Senior Colloidal Scientist,Arconic,"New Kensington, PA",,Strong analytical and data processing skills. Primary Purpose of the Job....
Engineer - Software Development,Arconic,"New Kensington, PA",,"The candidate will be responsible for development, integration and testing of sofware applications that support the digital thread, digital twin, data..."
Histotechnician/ Histotechnologist,UPMC,"Monroeville, PA 15146",,Enter pertinent histology laboratory data into the computerized data collection program. Experience must be under the supervision of a pathologist (certified by...
RF and Microwave Sensor Scientist,Oak Ridge Associated Universities,"Pittsburgh, PA",,RF and Microwave Sensor Scientist. Strong collaborative interactions are expected with chemists and material scientists as well as other device level scientists...
Technical Lead,Mobiquity,"Pittsburgh, PA",,"We are makers, designers, marketers, data scientists, and coders who take pride in what we craft. Mobile, web, voice, and IoT), combining our strengths in..."
Clinical Laboratory Scientist,PerkinElmer,"Bridgeville, PA 15017",,"Calibrating lab instruments and documents data. Procedures and analyses to provide data for diagnosis,. Performs clinical laboratory tests,...."
Environmental Project Engineer,"Alliance Source Testing, LLC","Pittsburgh, PA",,Test data quality control. Alliance Source Testing (Alliance) is currently seeking to fill a Project Scientist position....
Cultural Resources Technician,SWCA Environmental Consultants,"Bridgeville, PA",,Assist with GPS data collection in the field. SWCA is an employee-owned company of environmental scientists and professionals who specialize in natural and...
Research Technician,The University of Pittsburgh,"Pittsburgh, PA","$23,868 - $37,752 a year",Consults with senior scientists and scientific literature and reports data on project progress to supervisor and team....
Big Data Architect,TeleTracking Technologies,"Pittsburgh, PA",,Big Data Architect. The Big Data Architect leads the architecture and design of TeleTracking’s Data Platform in alignment with TeleTracking’s vision of...
Lab Technician,Ashland,"Pittsburgh, PA",,"Read instrumentation, charts, hazard information and enter data into a computer. Our people—molecular scientists, chemists, process engineers, logisticians,..."
"Manager - Data Science , Retail - Pittsburgh, PA",Capgemini,"Pittsburgh, PA",,5-10(s) professional work experience as a data scientist or on advanced analytics / statistics projects. Experience building scalable data pipelines and with...
Strategy Engagement Manager,ZestFinance,"Pittsburgh, PA",,Manage a team of data scientists & analysts building machine learning models to demonstrate the technology’s business value....
Technical Program Manager-Machine Learning,Uber,"Pittsburgh, PA 15201 (Central Lawrenceville area)",,Infrastructure - define and structure work to build the future of our rapidly growing and evolving compute and storage infrastructure that encompasses data...
Product Manager - Advanced Technologies Group / ATG - Pittsburgh,Uber,"Pittsburgh, PA 15201 (Central Lawrenceville area)",,"You will lead teams of engineers, data scientists, and designers to develop and scale software platforms that are critical to autonomous cars:...."
Air Quality Scientist,APTIM,"Monroeville, PA",,"Work activities include developing emission calculations (criteria pollutants, hazardous air pollutants and greenhouse gases), gathering technical data from..."
Product Manager - Advanced Technologies Group / ATG - Triage Platform,Uber,"Pittsburgh, PA 15201 (Central Lawrenceville area)",,"As the PM for Triage, you will work closely with technical teams of engineers, data scientists, and designers to develop and scale software platforms that are..."
Senior Cyber Security Engineer - 2005737,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,Data analytics and cybersecurity metrics. Expert experience in data analytics and cybersecurity metrics. Analyze assessment data to identify risk areas and...
Cyber Security Engineer - 2004923,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,Data analytics and cybersecurity metrics. Expert experience in data analytics and cybersecurity metrics. Analyze assessment data to identify risk areas and...
Digital Intelligence Technical Manager - 2007061,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,Exploratory data analysis. How do you maintain the velocity of an investigation or incident response when there are hundreds of terabytes of data to analyze...
Application Services Group Manager,PNC Financial Services Group,"Pittsburgh, PA 15289 (Central Business District area)",,"Experience managing teams of engineers, architects, data scientists, and designers. In this dynamic role you will be responsible for managing a group of..."
"Biological or Environmental Scientist/Chemist/Pittsburgh, PA/KS",Tetra Tech,"Pittsburgh, PA 15235",,"Evaluate data, prepare data summary tables, and generate data plots to aid interpretation of data. And to conduct data validation and analysis...."
Specialty Laboratory Technologist,UPMC,"Pittsburgh, PA 15213 (North Oakland area)",,"Data entry/report generation; Participate in the design and methodology of research and development projects, including how resultant data would best be..."
Sr. Robotics Scientist,Bossanova Robotics,"Pittsburgh, PA 15222 (Strip District area)",,Senior Robotics Scientist. Our robots’ mission is to make stores run efficiently by automating the collection and analysis of on-shelves inventory data in large...
Entry Level Chemical Engineer,Naval Nuclear Laboratory,"West Mifflin, PA 15122",,Work with a multi-disciplined team of skilled engineers and scientists to design systems which automate chemistry sampling using commercial-off-the-shelf (COTS)...
Environmental Engineer / Geologist Project Manager,"Civil & Environmental Consultants, Inc.","Export, PA 15632",,"Experience with preparing SWPPP and SPCC Plans, annual EPCRA Tier II and TRI reporting, Chemical Data Reporting under TSCA, general and individual NPDES..."
"Sr. Technical Specialist, CCAR/Modelling Business Analysis – Big Data, ETL, BI",BNY Mellon,"Pittsburgh, PA 15219 (Middle Hill area)",,Bachelor's degree in computer science and 10+ years of experience of working as technical business analyst on a large IT data project involving data warehouse...
CHEMICAL TECHNICIANS (PHYSICAL TESTING LABORATORY TECHNICIAN) - 17208120,CTG,"Pittsburgh, PA 15212",,"As an ISO 17025 accredited testing laboratory, Physical Testing provides high quality data to our team of scientists and engineers developing the next..."
Product Manager - Advanced Technologies Group / ATG - Autonomous Vehicle Maps (AVMaps),Uber,"Pittsburgh, PA 15201 (Central Lawrenceville area)",,"As an Uber ATG PM, you will help technical teams of engineers, data scientists, and designers develop and scale software platforms that are critical to..."
Investigating Nanomaterial Enabled Chemical Sensors for Environmental Monitoring for CO2 Storage,Oak Ridge Associated Universities,"Pittsburgh, PA",,"Applicants for this position must have a demonstrated ability to perform laboratory experiments, data analysis, literature reviews, and present/write results...."
Machine Learning,Argo AI,"Pittsburgh, PA",,"We are looking for highly motivated, technically deep engineers and applied scientists to join our team and help us realize this vision...."
Computer Vision,Argo AI,"Pittsburgh, PA",,"We are looking for highly motivated, technically deep engineers and applied scientists to join our team and help us realize this vision...."
Manager of IT Business Intelligence and Analytics,rue21,"Warrendale, PA 15086",,"Analyze complex data systems and document data elements, data flow, relationships and dependencies. Build and manage data sets for reporting integration,..."
Scientist/Associate Scientist,Cernostics,"Pittsburgh, PA",,"The Scientist/Associate Scientist will perform digital slide imaging, manage image data and patient meta-data for clinical studies, and other research duties as..."
Robotics Controls,Argo AI,"Pittsburgh, PA",,"We are looking for highly motivated, technically deep engineers and applied scientists to join our team and help us realize this vision...."
Robotics Motion Planning,Argo AI,"Pittsburgh, PA",,"We are looking for highly motivated, technically deep engineers and applied scientists to join our team and help us realize this vision...."
Backend Engineer,Argo AI,"Pittsburgh, PA",,"Extensive experience in building components for highly scalable and reliable big data systems is required. We are looking for highly motivated, technically deep..."
GIS Specialist,EnviroTrac Ltd.,"Warrendale, PA 15086",,"Develop scaled maps from field notes or field data collection systems· Engineering of drawings and contour maps of professional quality· Manage, design and..."
Data Scientist,Trigger IT,"Pittsburgh, PA",,"Thinking of new and innovative ways data science can be applied to benefit the business. Designing and building data-driven products, such as a recommender..."
Material Scientist,"Ibis Tek, Inc.","Butler, PA 16002",,Visit suppliers of materials or users of products in order to gather and build a data base of materials for development and production....
Postdoctoral Researcher,The University of Pittsburgh,"Pittsburgh, PA",,"Excellent scientific writing skills, the ability to organize data and clearly disseminate your findings and scientific concepts are essential...."
Scientist/Senior Scientist,Cernostics,"Pittsburgh, PA",,"Is seeking a Scientist at Cernostics’ laboratory in Pittsburgh, PA. The Scientist will optimize fluorescence slide labeling and digital slide imaging for novel..."
Engineer,Nokomis Inc.,"Charleroi, PA 15022",,And *Computer Scientists*. Candidate will be responsible for the *collection of data and analysis of data.*. _The position of Research Scientist:....
Big Data Architect,Oxford Solutions,"Pittsburgh, PA",,"Lead a development team of big data designers, developers, data scientists, and DevOps. Experience with Big Data text mining and big Data Analytics preferred...."
